Blog	hard	ago	weekend	set	yet	different	course	almost	during	actually	high	least	called	everyone	room	minutes	start	already	bad	everything	past	school	myself	wanted	show	maybe	later	hope	half	far	its	th	able	couple	along	side	anything	white	doesn	dinner	tell	remember	trying	red	hot	finally	kids	book	decided	might	must	working	probably	between	favorite	hand	nothing	kind	coming	eat	weeks	enjoy	free	cool	beautiful	someone	sunday	yesterday	stuff	soon	picture	oh	less	point	seems	live	add	saw	ready	won	large	head	man	under	name	second	sweet	real	easy	early	comes	months	summer	birthday	trip	taking	green	idea	pictures	watch	outside	yes	especially	story	told	person	cold	using	light	saturday	often	spent	seen	instead	mind	open	rest	call	else	leave	friday	sometimes	month	black	hour	wasn	fact	perfect	believe	mom	fresh	buy	lots	play	visit	bring	wait	check	weather	cup	lunch	needed	store	however	stop	several	four	cut	children	reading	run	front	recipe	thinking	looks	turn	special	late	bought	local	rather	isn	party	thanks	close	goes	guess	car	taken	cream	wonderful	gave	money	usually	either	share	living	line	ones	asked	sugar	short	others	warm	tried	looked	case	girl	baby	list	job	stay	turned	tomorrow	evening	simple	couldn	change	city	season	heart	haven	anyone	mother	face	means	walk	bed	area	order	young	kitchen	thank	amazing	monday	chocolate	cheese	interesting	loved	fine	town	spring	anyway	table	above	mean	please	christmas	taste	become	inside	feeling	tonight	felt	butter	c	talk	gone	care	reason	eating	behind	fall	knew	heat	etc	gets	heard	ask	brought	seem	books	worth	lost	although	group	cake	across	playing	cook	five	busy	chicken	coffee	boy	photo	watching	paper	amp	perhaps	oil	country	true	given	bread	ice	important	music	ok	spend	st	bowl	nbsp	meal	movie	ground	winter	number	salt	known	sun	door	sister	style	including	afternoon	extra	god	mix	word	cooking	dry	longer	wish	piece	milk	cute	words	dark	experience	low	huge	guy	air	clean	worked	hear	enjoyed	rain	write	sit	works	pick	com	blue	quickly	move	wine	box	brown	bag	talking	waiting	class	eyes	running	plan	woman	fruit	eggs	news	delicious	hands	near	tree	garden	plus	american	baking	office	pieces	finished	drink	company	age	size	sitting	sort	gift	kept	middle	note	e	sleep	cover	photos	wrong	mine	game	child	lovely	added	excited	wouldn	street	dad	restaurant	pm	needs	miss	egg	takes	except	ingredients	state	cups	hit	simply	business	type	break	flour	husband	drive	future	church	learn	parents	snow	minute	says	fast	quick	due	sauce	oven	breakfast	forward	park	learned	lives	certainly	moment	serve	recently	following	completely	shopping	glass	road	matter	color	dish	seeing	moved	problem	pepper	center	b	wonder	sense	phone	met	salad	available	non	happened	pan	whatever	leaves	deal	space	girls	view	men	body	stand	holiday	song	seemed	history	picked	saying	understand	art	bottom	mixture	super	possible	form	played	places	p	shop	women	single	pay	amount	giving	site	rice	process	french	crazy	boys	below	bake	event	meet	finish	price	garlic	watched	starting	main	against	walking	tea	funny	hold	chance	recipes	writing	project	served	six	market	x	soup	juice
Winton Families & More	6	2	0	4	0	2	2	4	2	0	4	1	3	1	4	0	2	1	4	1	3	18	3	13	5	2	12	2	5	4	0	2	7	5	4	5	3	4	5	0	3	7	4	3	5	7	7	8	4	1	0	6	1	3	7	4	3	2	0	1	3	1	1	2	4	4	3	2	1	5	9	1	2	1	1	2	1	1	0	2	3	9	2	3	2	4	2	1	2	9	1	2	3	0	3	2	2	0	13	1	3	2	2	11	10	2	1	0	0	1	4	0	2	1	1	3	0	0	0	3	0	10	1	2	2	5	0	0	4	10	0	0	3	4	4	1	1	0	1	0	0	4	3	1	1	8	1	5	3	3	1	7	0	1	0	2	2	1	7	4	0	0	0	0	5	1	7	3	4	1	1	2	2	5	3	2	2	0	3	4	0	3	2	2	4	6	2	1	1	1	4	3	3	0	0	0	3	1	3	1	2	0	1	5	9	0	5	2	2	1	1	0	0	0	0	1	2	1	1	1	0	4	0	1	3	1	2	2	1	0	2	1	0	2	0	4	0	1	0	3	0	4	2	1	0	3	3	1	0	1	1	5	2	2	1	0	0	4	0	0	1	2	0	0	1	2	3	0	0	1	1	1	1	2	1	2	0	0	0	0	1	0	0	0	1	2	1	1	0	0	3	4	4	1	0	1	1	0	0	0	1	1	4	3	0	7	1	0	1	1	1	0	0	1	0	5	1	1	1	0	1	1	6	4	8	4	1	0	2	1	0	1	3	1	4	0	0	1	6	4	0	1	1	5	13	1	4	0	1	6	0	0	1	0	3	1	1	1	0	4	0	2	1	0	1	6	1	0	0	2	0	3	1	2	2	27	0	0	0	2	0	0	1	0	0	0	1	0	1	0	3	0	5	11	0	3	5	8	0	1	4	2	0	0	0	0	0	1	2	3	1	0	0	0	3	1	1	0	0	12	0	1	0	1	8	3	0	2	4	1	1	2	2	1	2	0	1	0	0	1	0	0	5	0	1	1	0	0	0	1	4	2	1	0	0	1	1	0	0	0	3	0	2	3	0	0	1	0	2	0	0	1	1	0	1	0	0	0	0	0	1	0	3	0	1	1	3	0	1	1	0	1	0	1	0	2	0	1	0	0
My Little Slice of Pie	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
yours deliciously	0	0	0	0	1	0	0	1	1	0	0	0	2	0	0	1	0	0	0	0	0	0	0	0	1	0	0	0	2	0	8	3	0	1	0	1	0	0	0	1	0	0	0	1	0	1	2	0	1	0	1	0	0	0	0	0	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	1	0	2	0	1	0	0	0	0	0	0	0	0	0	0	1	0	1	0	0	0	1	2	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	1	0	2	3	0	1	0	0	1	0	0	0	1	1	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	1	0	0	3	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1	1	0	0	1	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6	0	0	0	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	2	1	0	0	0	0	0	0	1	0	0	1	0	0	0	0	0	0	0	0	0	4	0	0	0	0	0	2	0	0	0	3	0	0	0	0	0	0	4	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	1	0	2	0	0	0	0	0	2	0	0	1	1	0	7	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	3	0	5	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	3	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	1	0	4	1	0	0	0	0	0	1	0	0	0	0	0	0	2	1	0	6	0	0	0	0	1	0	7	0	0	0	7	0
Yillabean	0	1	1	1	2	0	0	0	1	0	1	0	1	0	2	0	2	0	1	0	3	3	6	4	1	9	2	6	0	1	1	7	6	4	0	1	0	0	3	1	3	2	0	1	1	0	0	5	0	0	2	12	0	1	3	0	1	2	2	0	5	2	0	0	0	3	2	0	0	4	0	1	0	0	2	3	0	1	2	6	0	1	2	0	2	4	0	2	0	1	3	4	0	1	1	2	0	4	0	0	0	3	0	0	8	0	1	1	0	0	0	0	0	2	2	0	0	3	2	4	1	1	3	1	1	3	0	2	4	0	1	1	0	1	0	2	1	6	1	0	0	2	0	1	1	0	2	1	0	3	3	0	0	4	1	0	1	0	0	2	0	3	0	0	0	1	0	3	1	0	2	3	8	0	2	2	4	2	0	5	0	1	0	0	0	1	0	1	0	1	15	3	0	0	0	1	0	2	2	0	6	3	1	1	2	3	1	1	3	1	2	0	2	2	0	0	0	1	0	0	2	1	1	0	0	0	0	0	0	0	0	2	1	4	0	2	1	0	2	1	0	0	3	6	0	0	1	3	1	0	0	1	0	0	0	0	0	1	0	0	0	3	0	0	0	0	0	0	1	0	0	6	2	0	0	0	1	0	9	2	2	0	0	0	0	0	0	1	0	0	6	0	0	1	0	1	1	0	0	3	0	0	2	4	0	0	0	4	0	2	0	0	0	0	1	1	2	0	0	3	1	0	1	12	0	1	3	1	0	0	0	3	0	0	0	3	8	3	0	0	0	0	0	0	1	0	0	1	0	1	0	0	1	0	1	0	0	1	0	1	1	0	0	0	0	0	0	4	0	0	0	1	1	0	1	0	0	2	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	3	0	3	3	0	0	0	0	1	2	0	0	0	1	0	1	0	0	2	0	0	2	0	1	1	0	0	0	0	0	1	1	0	0	2	0	1	3	3	1	0	0	1	0	1	0	0	0	1	0	0	0	1	0	3	0	2	0	2	0	0	0	0	0	1	1	0	1	0	0	0	0	2	0	0	2	0	1	0	1	0	0	0	0	2	1	2	0	0	3	0	0	1	0	0	1	0	0	1	0	0	0	2	0	0	0
neoscribe	0	0	0	0	1	0	0	1	2	2	1	1	1	0	0	2	2	0	4	0	1	2	0	0	0	4	0	1	2	0	1	0	1	1	2	0	1	0	0	0	1	0	0	0	0	0	1	0	3	1	0	1	1	0	0	1	1	0	2	0	0	0	2	1	0	0	0	0	1	2	0	1	2	1	0	0	1	0	0	1	0	1	0	0	0	1	0	0	0	0	1	1	0	0	1	0	0	0	0	0	0	2	0	1	0	0	0	0	1	1	1	0	0	1	1	0	1	1	0	2	1	1	1	0	0	0	2	0	0	1	0	1	2	0	1	0	1	1	1	1	1	0	0	0	2	0	1	0	0	1	0	0	0	0	0	0	0	0	1	2	1	0	1	1	1	0	2	0	0	0	0	0	0	0	1	0	1	0	0	0	0	0	0	0	0	0	0	1	0	0	1	1	0	0	0	0	0	0	2	0	0	0	1	1	0	0	0	0	1	0	1	0	0	0	0	0	0	0	0	0	1	2	0	0	0	5	2	0	0	0	0	0	0	1	0	0	2	0	0	1	0	0	0	1	0	0	0	0	0	0	0	1	1	1	1	0	0	0	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	2	2	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	1	0	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	2	1	0	0	0	0	0	0	10	0	0	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	1	1	1	0	0	0	0	0	0	0	0	0	0	1	6	1	0	0	0	4	0	1	0	0	0	0	1	0	1	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1	0	0	0	0	0	1	0	0	0	0	7	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	1	0	1	0	0	0	0	1	0	0	0	0	0	0	0
Bombay Boy	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0
A Truth From www.emmetsessentials.com	1	2	0	0	0	0	1	0	0	0	5	0	1	0	0	0	0	0	0	0	0	1	0	0	0	1	0	0	0	0	2	0	0	1	0	1	0	0	0	1	0	1	1	0	0	0	0	0	0	0	1	0	1	1	0	2	0	0	0	1	0	1	1	1	2	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	1	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	8	0	0	1	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	1	0	0	2	0	1	1	0	0	1	1	0	1	2	1	0	1	0	0	0	0	0	0	0	2	2	0	0	0	0	0	0	0	0	0	1	0	0	0	0	1	1	0	0	0	1	3	0	1	0	0	0	1	0	2	0	0	1	0	1	0	0	0	1	0	0	1	0	0	1	0	0	0	0	1	1	0	0	0	1	0	1	0	0	0	0	0	1	0	0	0	0	1	0	0	1	2	0	0	0	0	0	0	0	0	1	3	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	3	0	0	2	1	0	7	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1	0	0	0	0	2	0	1	0	0	0	0	1	0	0	1	1	0	0	0	0	0	1	0	0	2	0	0	0	0	2	0	1	1	1	1	0	0	0	1	0	0	0	0	0	0	0	0	0	4	0	4	0	1	0	11	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	4	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	1	0	0	3	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	1	0	1	0	0	3	0	0	0	0	0	1	0	0	0	0	0	0	0	2	0	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	1	0	3	0	0	0	2	0	0	0	0	0	14	0	0	0	0	0	0	0	0	0	0	1	0	12	0	1	0	0	0	0	0	0	0	0	0	0
Ever Changing Streams	0	1	1	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	1	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	2	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	2	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	4	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
CHECK MY INEVITABLES	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
darlene's blog	4	0	1	1	3	0	0	1	1	1	0	1	0	2	2	0	1	1	1	0	1	4	2	1	1	2	1	1	1	2	0	3	0	0	1	0	2	1	3	3	0	1	1	0	6	2	3	1	1	0	0	0	1	0	1	2	2	2	1	1	0	0	1	1	0	2	1	1	2	1	2	3	0	0	0	0	0	1	3	0	0	1	2	1	0	2	0	1	0	1	1	3	0	4	7	1	0	1	10	2	4	2	1	0	2	0	0	1	3	0	2	0	1	1	0	12	1	4	1	0	0	0	0	1	0	2	0	2	1	2	0	1	2	0	1	1	5	0	1	0	0	0	0	1	1	0	2	3	0	1	2	1	0	0	2	0	2	2	1	0	0	0	1	0	0	2	3	0	0	0	0	2	0	0	0	0	0	0	2	3	0	0	0	1	1	1	1	1	3	3	1	1	1	1	0	0	0	0	0	1	0	1	0	1	1	1	1	0	2	1	0	0	0	0	0	1	0	1	1	1	0	0	1	0	0	0	0	14	0	0	0	0	0	0	0	1	0	1	1	0	0	0	0	2	0	0	1	1	0	2	1	0	1	0	1	0	2	1	0	1	0	2	2	0	1	2	0	0	4	0	0	0	0	0	1	1	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	1	3	0	0	0	1	0	0	0	0	0	1	1	0	0	1	2	0	2	3	0	2	0	0	0	0	1	1	0	1	0	1	0	0	0	0	0	2	0	0	0	0	0	2	0	0	0	1	0	0	1	0	0	0	0	1	0	0	0	0	1	2	0	1	1	1	0	1	1	1	1	0	1	0	1	1	0	2	0	1	0	1	0	0	0	0	0	0	2	0	0	1	0	1	0	0	0	0	0	0	0	3	1	0	0	1	1	0	0	2	2	0	0	1	0	0	2	0	0	0	0	0	0	1	0	1	2	0	0	0	0	0	0	3	0	0	1	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	1	3	0	0	0	0	0	0	0	0	0	0	1	0	1	0	0	0	0	1	0	1	2	13	0	0	0	0	0	0	0	1	1	0	0	1	0	1	2	0	1	0	0	0	0	0	0	0	0
Rickstrew Ranch	2	4	4	1	1	0	1	2	0	2	2	0	0	0	2	1	1	0	0	2	2	4	0	0	0	0	4	1	1	2	1	0	3	0	1	0	0	0	1	2	1	0	2	1	0	1	0	0	0	1	0	1	0	1	0	0	1	1	0	0	2	1	0	2	5	0	1	0	0	1	1	1	0	0	1	3	2	1	0	0	0	1	0	1	2	0	0	1	2	0	1	0	1	0	1	1	0	0	3	1	0	0	0	1	1	0	0	0	0	0	2	2	0	0	0	1	0	0	1	0	1	0	1	0	0	0	1	1	0	1	0	0	0	0	5	2	1	0	1	0	2	1	3	0	1	2	2	0	0	1	3	0	0	0	1	0	0	2	3	2	0	0	0	0	1	0	0	1	1	0	1	0	0	0	0	0	2	1	0	1	0	0	0	0	0	0	0	0	0	0	0	3	2	0	1	1	1	0	2	0	1	0	1	1	0	0	1	10	0	1	0	0	0	0	0	0	0	0	2	0	2	0	1	0	0	0	0	1	2	0	0	0	0	0	0	1	0	1	0	0	0	0	0	0	0	0	0	1	1	0	0	0	1	1	0	0	0	0	1	0	0	0	0	0	0	1	0	1	0	0	1	0	0	0	0	0	0	1	0	1	0	0	0	0	0	0	1	0	0	1	0	0	0	0	1	0	0	4	0	0	0	0	1	1	0	4	4	0	1	0	0	1	1	1	1	1	1	1	1	0	0	0	0	1	2	0	0	0	0	0	1	2	1	0	0	2	0	0	1	0	0	0	0	0	0	2	0	0	0	0	0	2	1	0	0	0	0	1	0	1	1	0	0	1	2	4	0	2	0	2	0	1	0	1	0	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1	0	4	2	0	0	0	0	0	0	0	0	0	0	1	1	1	1	2	0	0	0	0	0	0	0	2	0	0	0	0	0	2	0	0	0	0	0	0	0	1	2	0	0	0	0	0	0	0	0	0	1	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	1	0	0	0	0	0	1	1	0	0	1	0	1	0	0	2	0	0	0	0	0	0	3	0	1	0	0	1	0
Sea Monkies Rule	4	1	2	4	3	1	1	4	4	2	2	5	12	2	6	1	5	3	9	3	0	6	4	6	0	5	3	2	2	3	1	2	1	4	4	5	1	1	6	2	0	5	3	0	1	0	10	1	5	3	3	6	10	5	3	0	2	1	1	0	2	4	1	0	2	4	7	4	1	3	0	4	6	2	2	0	1	0	2	1	1	3	1	4	0	0	2	1	1	3	1	6	2	9	1	3	0	3	0	0	4	1	4	2	2	4	6	2	1	0	1	5	2	8	0	1	3	2	3	2	1	5	2	2	3	4	4	1	4	0	0	0	0	1	0	0	2	2	1	0	0	4	1	1	1	2	1	2	3	2	1	2	1	1	0	2	0	1	0	0	3	2	0	0	0	0	1	1	1	1	4	1	0	2	2	0	2	2	4	9	2	2	1	2	1	0	0	0	1	0	6	1	0	2	3	1	2	3	1	0	0	0	1	0	1	1	4	4	0	0	0	1	3	2	0	0	0	1	3	2	0	0	5	0	3	0	1	0	1	3	1	7	0	6	0	2	3	1	3	1	1	2	0	5	1	0	0	4	2	1	1	0	0	1	1	1	3	2	0	1	0	0	7	0	0	0	1	4	0	1	1	0	3	3	0	0	1	3	0	3	0	1	0	0	0	1	0	5	1	0	0	1	0	1	1	0	0	4	0	1	2	1	2	5	0	0	1	1	0	1	0	0	1	1	2	4	1	0	0	2	0	1	1	0	1	2	1	1	0	1	0	2	1	1	2	1	2	2	1	0	0	0	0	2	0	0	0	0	0	0	4	2	0	0	0	0	1	1	0	3	0	1	0	0	0	0	2	1	0	1	0	0	3	0	0	1	0	0	4	2	1	0	0	2	2	0	0	4	1	1	2	1	7	0	2	5	0	0	4	0	2	1	0	0	3	0	0	0	0	0	0	1	2	0	2	0	1	0	0	2	2	0	0	1	1	0	4	0	0	9	2	2	0	0	1	1	1	0	0	0	0	0	0	0	0	1	2	0	3	1	1	0	1	2	0	0	0	0	3	0	1	0	1	0	2	0	0	1	1	0	2	2	0	0	0	1	0	0	0	2	0	2	0	1	0	2	1	0	0	1	0	0	2	2	0	1	1	0	0	3
