Blog	ago	hard	weekend	set	yet	different	course	almost	during	actually	high	least	called	everyone	room	start	minutes	already	bad	past	school	everything	myself	show	wanted	later	hope	half	maybe	far	its	able	th	couple	along	anything	doesn	white	dinner	tell	side	remember	trying	red	hot	finally	kids	book	might	must	decided	working	probably	between	favorite	nothing	hand	kind	coming	weeks	eat	enjoy	cool	free	beautiful	someone	yesterday	sunday	stuff	soon	oh	picture	less	point	seems	live	add	ready	saw	large	head	won	man	under	second	name	sweet	real	early	birthday	easy	comes	months	summer	green	trip	taking	idea	pictures	outside	watch	yes	told	especially	person	story	cold	using	light	saturday	often	spent	seen	instead	mind	open	rest	call	else	leave	month	friday	black	hour	sometimes	wasn	fact	believe	perfect	fresh	mom	buy	lots	play	visit	bring	check	wait	lunch	cup	weather	store	needed	however	stop	several	four	cut	children	run	reading	recipe	front	thinking	looks	turn	late	special	bought	rather	local	party	isn	close	thanks	guess	goes	car	taken	wonderful	cream	money	gave	usually	either	line	living	share	ones	asked	sugar	short	others	tried	warm	looked	baby	case	girl	job	list	stay	evening	turned	tomorrow	simple	couldn	change	heart	city	season	haven	anyone	mother	means	walk	face	bed	area	order	young	kitchen	amazing	thank	interesting	chocolate	fine	cheese	monday	loved	spring	town	anyway	table	above	mean	please	christmas	taste	become	inside	tonight	c	felt	feeling	butter	care	reason	talk	gone	fall	behind	eating	knew	heat	etc	gets	heard	seem	books	ask	worth	brought	lost	cake	although	group	five	across	playing	cook	busy	coffee	boy	chicken	perhaps	photo	amp	watching	paper	bread	country	oil	true	given	important	ice	music	ok	spend	st	bowl	nbsp	meal	movie	winter	salt	ground	number	known	door	sun	sister	including	style	extra	afternoon	word	god	cooking	dry	mix	milk	longer	cute	piece	words	dark	clean	wish	low	guy	air	experience	worked	huge	enjoyed	hear	write	sit	rain	works	blue	com	pick	quickly	move	box	wine	talking	bag	class	waiting	eyes	brown	plan	delicious	running	fruit	woman	news	eggs	near	tree	hands	baking	plus	office	garden	american	finished	pieces	company	drink	age	sitting	size	gift	sort	kept	cover	middle	e	note	sleep	wrong	photos	mine	game	added	lovely	child	wouldn	excited	dad	restaurant	street	pm	needs	miss	takes	except	state	cups	egg	ingredients	type	business	simply	hit	break	snow	flour	husband	drive	church	learn	future	parents	fast	says	minute	quick	sauce	due	park	oven	breakfast	forward	learned	moment	serve	certainly	following	completely	lives	recently	dish	matter	road	color	shopping	glass	moved	problem	seeing	b	center	wonder	sense	available	pepper	phone	met	salad	non	happened	whatever	leaves	pan	view	space	girls	deal	men	body	holiday	stand	seemed	song	bottom	art	history	picked	saying	mixture	super	understand	possible	p	form	shop	played	places	women	amount	giving	single	pay	site	french	rice	boys	process	below	bake	crazy	event	price	against	garlic	meet	watched	finish	starting	walking	main	recipes	tea	hold	funny	project	chance	market	served	six	writing	x	soup	juice
Winton Families & More	2	6	0	4	0	2	2	4	2	0	4	1	3	1	4	2	0	1	4	3	18	1	3	5	13	12	2	5	2	4	0	7	2	5	4	3	5	4	0	3	5	7	4	3	5	7	7	8	1	0	4	6	1	3	7	3	4	2	0	3	1	1	2	1	4	4	2	3	1	5	1	9	2	1	1	2	1	0	1	3	9	2	2	3	4	2	2	1	9	0	2	1	2	3	2	3	2	0	13	3	1	2	10	2	2	11	1	0	0	1	4	0	2	1	1	3	0	0	0	3	1	0	2	2	10	5	0	4	0	0	10	0	3	4	4	1	0	1	0	0	1	3	4	1	1	8	1	5	3	1	3	0	7	1	0	2	1	2	7	0	4	0	0	5	0	7	1	3	4	1	1	2	2	5	3	0	2	2	3	4	0	3	2	4	2	6	1	2	1	4	1	3	0	3	0	0	3	1	2	3	1	0	1	5	0	5	9	2	2	1	1	0	0	0	1	1	1	2	0	1	4	0	0	1	3	1	2	2	1	0	2	0	4	2	1	0	0	3	0	1	2	4	0	1	0	3	3	1	1	5	0	2	1	2	0	1	0	1	4	0	0	2	0	1	0	1	2	0	3	0	1	1	1	1	2	0	2	0	0	0	1	0	0	0	1	1	0	2	1	0	4	3	4	0	1	1	1	0	0	1	1	0	7	4	1	0	0	1	0	3	1	0	1	1	5	0	1	1	0	1	1	1	8	4	6	4	1	2	0	1	0	1	3	4	1	0	1	0	6	1	0	4	5	13	1	1	4	6	1	0	0	0	0	1	3	1	1	0	1	4	1	0	1	2	0	1	6	0	0	3	0	2	2	1	27	0	2	0	0	2	0	1	0	0	0	0	0	1	0	1	3	0	0	5	11	3	5	0	8	2	4	1	0	0	0	2	0	0	1	3	0	0	0	1	1	1	3	0	0	12	1	0	0	8	3	1	4	2	1	1	2	0	2	2	1	0	1	0	1	0	0	0	5	0	1	1	0	0	1	0	1	0	4	2	1	1	0	0	0	2	0	3	3	0	0	0	2	0	1	0	1	0	1	1	0	0	0	0	1	1	0	0	3	0	0	3	1	1	0	1	1	1	0	0	0	2	0	1	0	0
My Little Slice of Pie	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
yours deliciously	0	0	0	0	1	0	0	1	1	0	0	0	2	0	0	0	1	0	0	0	0	0	0	1	0	0	0	2	0	0	8	0	3	1	0	0	0	0	1	0	1	0	0	1	0	1	2	0	0	1	1	0	0	0	0	0	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	2	1	0	0	0	0	0	0	0	0	0	1	0	0	0	1	0	1	2	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	1	3	2	0	1	0	0	1	0	0	1	1	0	0	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	1	0	1	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1	0	1	0	1	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6	0	0	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	1	0	2	0	0	0	0	0	0	0	1	0	1	0	0	0	0	0	0	0	0	4	0	0	0	0	0	2	0	0	0	0	3	0	0	0	0	4	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	2	0	1	0	0	0	0	0	2	0	0	1	0	0	0	1	7	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	3	5	0	0	0	3	0	0	0	0	0	0	0	0	0	3	1	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	4	0	1	0	0	0	1	0	1	0	0	0	0	0	0	2	0	6	0	0	0	0	0	7	0	1	0	7	0
Yillabean	1	0	1	1	2	0	0	0	1	0	1	0	1	0	2	2	0	0	1	3	3	0	6	1	4	2	6	0	9	1	1	6	7	4	0	0	3	0	1	3	1	2	0	1	1	0	0	5	0	2	0	12	0	1	3	1	0	2	2	5	0	2	0	0	0	3	0	2	0	4	1	0	0	0	2	3	0	2	1	0	1	6	2	0	4	2	0	2	1	1	0	3	4	0	0	1	2	4	0	0	0	3	8	0	0	0	1	1	0	0	0	0	0	2	2	0	0	3	2	4	3	1	1	1	1	3	0	4	2	1	0	1	0	1	0	2	6	1	0	0	1	0	2	1	1	0	2	1	0	3	3	0	0	4	1	0	0	1	0	0	2	0	3	0	0	0	1	3	1	2	0	8	3	0	2	2	4	2	0	5	0	1	0	0	0	1	0	0	1	15	1	3	0	0	0	1	0	2	6	2	0	3	1	1	3	1	2	1	3	1	2	0	2	2	1	0	0	0	0	0	1	2	1	0	0	0	0	0	0	0	0	1	2	4	2	0	2	1	1	0	3	0	0	6	0	0	1	3	0	1	1	0	0	0	0	0	0	0	1	0	0	3	0	0	0	0	0	1	0	0	0	6	0	2	0	1	0	0	9	2	2	0	0	0	0	0	0	0	1	0	0	6	0	0	1	1	1	3	0	0	0	0	0	2	0	0	4	0	1	4	0	0	0	2	1	0	0	2	3	1	0	0	0	12	1	1	3	0	1	3	0	0	0	0	0	8	0	3	0	3	0	0	0	1	0	0	0	1	0	1	0	0	0	1	1	0	0	0	1	1	0	1	0	0	0	0	0	4	0	1	0	0	0	1	0	0	1	2	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	3	3	3	0	0	0	1	0	2	0	0	0	1	1	2	0	0	2	0	0	0	0	0	0	0	1	1	1	1	0	2	0	0	1	0	0	3	3	1	0	1	1	0	0	0	0	1	0	0	0	0	1	0	3	0	0	2	0	2	0	0	0	1	0	1	0	0	1	0	0	0	0	2	2	0	0	0	1	0	0	1	0	2	0	0	2	0	1	3	1	0	0	0	1	0	0	0	2	0	0	1	0	0	0
neoscribe	0	0	0	0	1	0	0	1	2	2	1	1	1	0	0	2	2	0	4	1	2	0	0	0	0	0	1	2	4	0	1	1	0	1	2	1	0	0	0	1	0	0	0	0	0	0	1	0	1	0	3	1	1	0	0	1	1	0	2	0	0	0	1	2	0	0	0	0	1	2	1	0	2	1	0	0	1	0	0	0	1	1	0	0	1	0	0	0	0	0	0	1	1	0	0	1	0	0	0	0	0	2	0	0	0	1	0	0	1	1	1	0	0	1	1	0	1	1	0	2	1	1	0	0	1	0	2	0	0	0	1	1	2	0	1	0	1	1	1	1	1	0	0	0	2	0	1	0	0	0	1	0	0	0	0	0	0	0	1	1	2	1	0	1	1	2	0	0	0	0	0	0	0	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	1	1	0	1	0	0	0	0	0	0	0	2	0	0	1	1	0	0	0	0	1	0	1	0	0	0	0	0	0	0	0	0	2	1	0	0	0	5	2	0	0	0	0	0	0	1	0	0	0	1	2	0	0	0	0	1	0	0	0	0	0	1	0	1	0	1	0	1	0	0	0	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	2	2	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	1	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	1	0	0	0	0	0	0	0	0	10	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	1	1	1	0	0	0	0	0	0	0	0	1	0	1	0	6	0	0	4	1	0	0	0	0	0	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1	0	0	0	1	0	0	7	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	1	0	0	0
Bombay Boy	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
A Truth From www.emmetsessentials.com	2	1	0	0	0	0	1	0	0	0	5	0	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	1	0	2	0	0	1	0	0	0	0	1	0	1	1	1	0	0	0	0	0	0	1	0	0	1	1	0	0	2	0	0	0	1	1	1	1	2	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	1	0	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	1	0	1	0	0	0	8	0	0	1	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	1	0	2	0	1	1	0	0	0	1	1	0	1	2	1	1	0	0	0	0	0	0	0	0	2	0	2	0	0	0	0	0	0	0	0	0	1	0	0	0	1	0	0	1	0	1	3	0	1	0	0	0	2	1	0	0	0	1	0	0	1	0	0	1	1	0	0	0	0	1	0	0	0	0	1	1	0	0	1	0	0	1	0	0	0	0	1	0	0	0	0	0	1	0	0	1	2	0	0	0	0	0	0	1	0	0	0	0	3	0	0	0	0	0	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	3	0	0	0	1	0	2	0	0	7	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	2	0	1	0	0	0	0	1	0	1	0	0	1	0	0	2	0	0	0	0	0	0	1	0	0	2	0	0	1	1	1	1	0	0	1	0	0	0	0	0	0	0	0	0	0	4	0	4	0	0	11	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	1	0	3	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	1	1	3	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	2	0	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	3	0	2	0	0	0	0	0	14	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	12	1	0	0	0	0	0	0	0	0	0	0
Ever Changing Streams	1	0	1	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	1	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	2	0	0	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	4	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
CHECK MY INEVITABLES	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	1	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
darlene's blog	0	4	1	1	3	0	0	1	1	1	0	1	0	2	2	1	0	1	1	1	4	0	2	1	1	1	1	1	2	2	0	0	3	0	1	2	3	1	3	0	0	1	1	0	6	2	3	1	0	0	1	0	1	0	1	2	2	2	1	0	1	0	1	1	0	2	1	1	2	1	3	2	0	0	0	0	0	3	1	0	1	0	2	1	2	0	0	1	1	4	0	1	3	0	0	7	1	1	10	4	2	2	2	1	0	0	0	1	3	0	2	0	1	1	0	12	1	4	1	0	0	0	1	0	0	2	0	1	2	0	2	1	2	0	1	1	0	5	0	0	1	0	0	1	1	0	2	3	0	2	1	0	1	0	2	0	2	2	1	0	0	1	0	0	0	3	2	0	0	0	0	0	2	0	0	0	0	0	2	3	0	0	0	1	1	1	3	1	1	1	3	1	0	1	1	0	0	0	0	0	1	1	0	1	1	1	1	0	2	1	0	0	0	0	1	1	1	0	0	1	0	0	1	0	0	0	0	14	0	0	0	0	1	0	0	0	1	0	0	1	0	0	0	2	0	0	1	1	1	0	0	1	2	0	2	1	0	0	1	0	1	2	0	1	2	0	2	4	0	0	1	0	0	0	0	0	1	0	0	2	0	0	0	0	0	0	0	0	0	0	1	0	3	0	0	1	0	0	0	0	0	0	0	1	1	0	2	0	0	1	3	2	0	2	0	0	1	0	0	1	1	0	0	0	1	0	0	2	0	0	0	0	0	2	0	0	1	0	1	0	0	0	0	0	0	0	1	0	0	0	1	0	0	2	1	1	1	1	0	1	0	1	0	1	1	1	1	0	2	0	1	0	0	1	0	0	0	0	0	2	0	1	1	0	0	0	0	0	0	0	0	0	0	3	1	0	1	0	1	2	2	0	0	1	0	0	0	0	2	0	0	0	0	0	1	0	1	0	0	0	0	2	0	3	0	0	0	1	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	1	3	0	0	0	0	0	0	1	0	0	0	0	0	1	0	0	1	1	13	0	0	0	2	0	0	0	0	0	1	0	1	1	0	1	0	2	1	0	0	0	0	0	0	0	0	0
Rickstrew Ranch	4	2	4	1	1	0	1	2	0	2	2	0	0	0	2	1	1	0	0	2	4	2	0	0	0	4	1	1	0	2	1	3	0	0	1	0	1	0	2	1	0	0	2	1	0	1	0	0	1	0	0	1	0	1	0	1	0	1	0	2	0	1	2	0	5	0	0	1	0	1	1	1	0	0	1	3	2	0	1	0	1	0	0	1	0	2	0	1	0	0	2	1	0	1	0	1	1	0	3	0	1	0	1	0	0	1	0	0	0	0	2	2	0	0	0	1	0	0	1	0	1	1	0	0	0	0	1	0	1	0	1	0	0	0	5	2	0	1	2	0	1	3	1	0	1	2	2	0	0	3	1	0	0	0	1	0	2	0	3	0	2	0	0	1	0	0	0	1	1	1	0	0	0	0	0	1	2	0	0	1	0	0	0	0	0	0	0	0	0	0	0	3	1	2	0	1	1	0	1	2	0	0	1	1	0	1	0	10	0	1	0	0	0	0	0	0	0	0	0	2	0	2	1	0	0	0	0	1	2	0	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	1	0	0	1	1	0	1	0	0	0	0	0	1	0	0	0	0	0	0	1	0	0	1	0	0	1	0	0	0	0	1	0	1	0	0	0	0	0	1	0	0	0	1	0	0	0	1	0	0	0	0	4	0	0	0	4	1	4	0	0	1	1	1	0	1	1	0	1	1	1	1	0	0	1	0	2	1	0	0	0	0	0	2	1	0	1	0	0	0	0	2	1	0	0	0	0	0	0	0	0	0	2	0	2	0	0	1	0	0	0	0	1	1	2	1	0	0	1	0	4	2	0	1	0	2	1	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	2	0	4	0	0	0	0	0	0	0	1	0	1	1	1	0	0	0	0	0	2	0	0	0	0	0	0	2	2	0	0	0	0	0	0	0	0	0	1	2	0	0	0	0	0	1	0	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	1	0	0	0	1	0	0	1	1	0	0	1	2	0	0	0	0	0	3	0	0	0	1	0	0	1	0
Sea Monkies Rule	1	4	2	4	3	1	1	4	4	2	2	5	12	2	6	5	1	3	9	0	6	3	4	0	6	3	2	2	5	3	1	1	2	4	4	1	6	1	2	0	5	5	3	0	1	0	10	1	3	3	5	6	10	5	3	2	0	1	1	2	0	4	0	1	2	4	4	7	1	3	4	0	6	2	2	0	1	2	0	1	3	1	1	4	0	0	2	1	3	9	1	1	6	2	0	1	3	3	0	4	0	1	2	4	4	2	6	2	1	0	1	5	2	8	0	1	3	2	3	2	2	1	2	3	5	4	4	4	1	0	0	0	0	1	0	0	2	2	0	0	1	1	4	1	1	2	1	2	3	1	2	1	2	1	0	2	1	0	0	3	0	0	2	0	0	1	0	1	1	4	1	0	1	2	2	2	2	0	4	9	2	2	1	1	2	0	1	0	0	6	0	1	3	0	2	1	2	3	0	1	0	0	1	0	1	4	1	4	0	0	0	1	2	3	1	0	2	0	0	3	0	0	5	0	3	0	1	0	1	3	1	0	2	6	7	0	3	1	3	1	0	2	1	5	1	0	0	4	1	0	2	0	1	1	3	1	1	0	2	0	1	0	0	0	7	1	0	0	1	4	0	0	1	3	3	1	0	3	0	3	0	1	0	0	0	0	1	1	5	0	1	0	0	1	1	0	0	1	4	2	1	0	0	2	1	0	1	0	2	5	0	1	1	1	4	0	0	1	2	0	0	1	1	0	1	2	1	0	1	2	0	1	1	2	1	2	0	1	1	2	0	0	2	0	0	0	0	0	0	0	2	4	0	0	0	1	0	0	1	3	0	0	0	1	0	2	0	1	0	0	0	1	0	3	1	0	0	0	4	2	0	0	2	0	1	2	1	1	4	0	2	4	1	7	0	5	0	2	0	1	2	0	0	3	0	0	0	0	0	0	2	0	1	0	1	0	2	0	2	2	0	0	0	1	0	1	0	0	9	2	1	4	2	0	0	1	1	0	0	0	0	0	0	0	0	1	0	2	1	3	0	0	1	0	1	0	0	2	3	1	0	0	1	0	2	1	1	0	0	0	0	2	0	2	1	0	0	0	0	2	2	0	0	2	1	1	0	0	0	1	0	2	0	1	0	1	2	0	0	3
